accuracy,precision_macro,recall_macro,specificity_macro,f1_macro,extractor,fold
0.9173166926677067,0.9135355486570592,0.9132309473468933,0.9794198630926518,0.9117425561079701,ResNet-101,1
0.9152317880794701,0.90777024556509,0.9080563165032991,0.979086955506973,0.9074264586284275,ResNet-101,2
0.9271317829457364,0.9348010418226131,0.9369941786608453,0.9810318718622979,0.9344781854102695,ResNet-101,3
0.9501779359430605,0.9510375450473265,0.9513331356690042,0.9874791864628086,0.9510882155731902,ResNet-101,4
0.9536082474226805,0.9517838256369217,0.9496288798920378,0.9884729795961118,0.9505217398462926,ResNet-101,5
0.8923556942277691,0.8920524784733237,0.8898473259772267,0.9731678367750222,0.8881070887786133,MobileNetV2,1
0.8874172185430463,0.8801983849710385,0.8822562543429757,0.9721817744956223,0.8810321735466695,MobileNetV2,2
0.8992248062015504,0.9090020255648558,0.9114908548241882,0.9737781299399403,0.9096875397965757,MobileNetV2,3
0.9181494661921709,0.9204721737694574,0.9183841041750067,0.9794458448765038,0.9191155406648328,MobileNetV2,4
0.9342783505154639,0.928817077314345,0.9297666009204472,0.9838246771403008,0.9290193385690305,MobileNetV2,5
