extractor,folds,accuracy_mean,accuracy_std,accuracy_mean_std,precision_macro_mean,precision_macro_std,precision_macro_mean_std,recall_macro_mean,recall_macro_std,recall_macro_mean_std,specificity_macro_mean,specificity_macro_std,specificity_macro_mean_std,f1_macro_mean,f1_macro_std,f1_macro_mean_std
MobileNetV2,5,0.9062851071360001,0.01952087538972533,0.9063 ± 0.0195,0.906108428018604,0.019995455108211192,0.9061 ± 0.0200,0.9063490280479691,0.01982695182856923,0.9063 ± 0.0198,0.9764796526454779,0.004987128107946751,0.9765 ± 0.0050,0.9053923362711445,0.02035440774489084,0.9054 ± 0.0204
ResNet-101,5,0.9326932894117308,0.01813437649397892,0.9327 ± 0.0181,0.9317856413458021,0.02055152627398908,0.9318 ± 0.0206,0.931848691614416,0.020217271126984487,0.9318 ± 0.0202,0.9830981713041688,0.004526898906796835,0.9831 ± 0.0045,0.93105143111323,0.020756205563303133,0.9311 ± 0.0208
