model_trained_on,evaluated_on,accuracy,precision,recall,specificity,f1_score
CRIC,SIPaKMeD,0.8551135372680019,0.8341049172002597,0.8865535991265833,0.8236734914193676,0.8595298943705171
SIPaKMeD,CRIC,0.9096774089992472,0.8927008646952026,0.9312924085430776,0.8880624325851354,0.9115883820278504
