classifier,accuracy,precision,recall,specificity,f1_score
mlp33,0.9458835489091906,0.934911829326208,0.9584969663245979,0.9332701989802197,0.9465575043789083
knn,0.9434196974358288,0.9453208958431844,0.941284737455993,0.9455546459928412,0.9432984992198516
decision_tree,0.9149208812081164,0.9172670580195964,0.9121090197001636,0.917732727671573,0.9146807671568036
random_forest,0.9481628121614212,0.9295622964691402,0.9698130571101432,0.9265126830494964,0.9492611882261448
